1081535,org.jfree.chart.util.ResourceBundleWrapper,getBundle
6735,org.jfree.chart.util.ParamChecks,nullNotPermitted
26942,org.jfree.chart.ChartColor,createDefaultPaintArray
8981,org.jfree.chart.plot.DefaultDrawingSupplier,intArray
9301,org.jfree.chart.plot.DefaultDrawingSupplier,intArray
10264,org.jfree.chart.plot.DefaultDrawingSupplier,intArray
11546,org.jfree.chart.plot.DefaultDrawingSupplier,intArray
8981,org.jfree.chart.plot.DefaultDrawingSupplier,intArray
12509,org.jfree.chart.plot.DefaultDrawingSupplier,intArray
12830,org.jfree.chart.plot.DefaultDrawingSupplier,intArray
9942,org.jfree.chart.plot.DefaultDrawingSupplier,intArray
10905,org.jfree.chart.plot.DefaultDrawingSupplier,intArray
13471,org.jfree.chart.plot.DefaultDrawingSupplier,intArray
6319853,org.jfree.chart.plot.DefaultDrawingSupplier,createStandardSeriesShapes
19244,org.jfree.chart.Colors,createFancyLightColors
5227414,org.jfree.chart.Colors,getDefaultColors
19245,org.jfree.data.general.AbstractDataset,addChangeListener
31111,org.jfree.chart.event.ChartChangeEvent,setType
29508,org.jfree.chart.plot.Plot,notifyListeners
5485929,org.jfree.chart.plot.Plot,datasetChanged
10216838,org.jfree.chart.plot.MeterPlot,setDataset
2566,org.jfree.chart.util.ParamChecks,nullNotPermitted
3207,org.jfree.chart.plot.Plot,notifyListeners
4427810,org.jfree.chart.plot.Plot,fireChangeEvent
9861459,org.jfree.chart.plot.MeterPlot,addInterval
8018,org.jfree.chart.util.ParamChecks,nullNotPermitted
8980,org.jfree.chart.util.ParamChecks,nullNotPermitted
17642,org.jfree.chart.plot.Plot,addChangeListener
5774,org.jfree.chart.util.ParamChecks,nullNotPermitted
5133,org.jfree.chart.util.ParamChecks,nullNotPermitted
3850,org.jfree.chart.util.ParamChecks,nullNotPermitted
3849,org.jfree.chart.util.ParamChecks,nullNotPermitted
3849,org.jfree.chart.util.ParamChecks,nullNotPermitted
6018679,org.jfree.chart.block.AbstractBlock,setPadding
10905,org.jfree.chart.util.ParamChecks,nullNotPermitted
6272063,org.jfree.chart.block.AbstractBlock,setMargin
2887,org.jfree.chart.util.ParamChecks,nullNotPermitted
20848,org.jfree.chart.title.Title,notifyListeners
6414792,org.jfree.chart.title.Title,fireChangeEvent
12214726,org.jfree.chart.title.Title,setHorizontalAlignment
5453,org.jfree.chart.title.Title,notifyListeners
6050753,org.jfree.chart.title.LegendTitle,setBackgroundPaint
1924,org.jfree.chart.util.ParamChecks,nullNotPermitted
4170,org.jfree.chart.title.Title,notifyListeners
5394199,org.jfree.chart.title.Title,fireChangeEvent
11135118,org.jfree.chart.title.Title,setPosition
15396,org.jfree.chart.title.Title,addChangeListener
9622,org.jfree.chart.JFreeChart,notifyListeners
1924,org.jfree.chart.util.ParamChecks,nullNotPermitted
3528,org.jfree.chart.util.ParamChecks,nullNotPermitted
5532117,org.jfree.chart.drawable.ColorPainter,draw
8660,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
8339,org.jfree.chart.ui.RectangleInsets,calculateRightInset
7697,org.jfree.chart.ui.RectangleInsets,calculateTopInset
6735,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
6301892,org.jfree.chart.ui.RectangleInsets,trim
5132,org.jfree.chart.title.Title,isVisible
2566,org.jfree.chart.util.ParamChecks,nullNotPermitted
2887,org.jfree.chart.util.ParamChecks,nullNotPermitted
7377,org.jfree.chart.title.Title,getPosition
9301,org.jfree.chart.block.BlockParams,setGenerateEntities
3849,org.jfree.chart.block.FlowArrangement,clear
4434867,org.jfree.chart.block.BlockContainer,clear
1925,org.jfree.chart.title.Title,getPosition
8339,org.jfree.chart.ui.RectangleEdge,isTopOrBottom
4490,org.jfree.chart.block.BlockContainer,setArrangement
5453,org.jfree.chart.plot.MeterInterval,getBackgroundPaint
9942,org.jfree.chart.plot.MeterInterval,getOutlinePaint
6094,org.jfree.chart.plot.MeterInterval,getLabel
4169,org.jfree.chart.plot.MeterInterval,getLabel
3848,org.jfree.chart.util.ParamChecks,nullNotPermitted
3208,org.jfree.chart.util.ParamChecks,nullNotPermitted
5452,org.jfree.chart.util.ParamChecks,nullNotPermitted
3207,org.jfree.chart.util.ParamChecks,nullNotPermitted
7377,org.jfree.chart.util.ParamChecks,nullNotPermitted
6094,org.jfree.chart.util.ParamChecks,nullNotPermitted
2887,org.jfree.chart.util.ParamChecks,nullNotPermitted
8980,org.jfree.chart.plot.MeterPlot,getDataset
15716,org.jfree.chart.LegendItem,setDataset
4610953,org.jfree.chart.plot.MeterPlot,getLegendItems
8339,org.jfree.chart.LegendItem,getShape
9302,org.jfree.chart.LegendItem,getFillPaint
2246,org.jfree.chart.util.ParamChecks,nullNotPermitted
6414,org.jfree.chart.util.ParamChecks,nullNotPermitted
1603,org.jfree.chart.util.ParamChecks,nullNotPermitted
5197906,org.jfree.chart.block.AbstractBlock,setPadding
9975642,org.jfree.chart.block.AbstractBlock,setPadding
5452,org.jfree.chart.LegendItem,getFillPaintTransformer
2245,org.jfree.chart.util.ParamChecks,nullNotPermitted
4823282,org.jfree.chart.title.LegendGraphic,setFillPaintTransformer
6094,org.jfree.chart.LegendItem,isShapeFilled
6415,org.jfree.chart.title.LegendGraphic,setShapeFilled
7697,org.jfree.chart.LegendItem,getLine
9301,org.jfree.chart.title.LegendGraphic,setLine
8019,org.jfree.chart.LegendItem,getLineStroke
8980,org.jfree.chart.title.LegendGraphic,setLineStroke
8019,org.jfree.chart.LegendItem,getLinePaint
5132,org.jfree.chart.title.LegendGraphic,setLinePaint
9622,org.jfree.chart.LegendItem,isLineVisible
5773,org.jfree.chart.title.LegendGraphic,setLineVisible
4491,org.jfree.chart.LegendItem,isShapeVisible
7057,org.jfree.chart.title.LegendGraphic,setShapeVisible
5453,org.jfree.chart.LegendItem,isShapeOutlineVisible
11546,org.jfree.chart.title.LegendGraphic,setShapeOutlineVisible
8339,org.jfree.chart.LegendItem,getOutlinePaint
7697,org.jfree.chart.title.LegendGraphic,setOutlinePaint
5773,org.jfree.chart.LegendItem,getOutlineStroke
5453,org.jfree.chart.title.LegendGraphic,setOutlineStroke
1603,org.jfree.chart.util.ParamChecks,nullNotPermitted
4544238,org.jfree.chart.block.AbstractBlock,setPadding
5453,org.jfree.chart.LegendItem,getDataset
6095,org.jfree.chart.LegendItem,getSeriesKey
6414,org.jfree.chart.title.LegendTitle,getLegendItemGraphicAnchor
