1099816,org.jfree.chart.util.ResourceBundleWrapper,getBundle
7056,org.jfree.chart.util.ParamChecks,nullNotPermitted
26621,org.jfree.chart.ChartColor,createDefaultPaintArray
7056,org.jfree.chart.plot.DefaultDrawingSupplier,intArray
8660,org.jfree.chart.plot.DefaultDrawingSupplier,intArray
6735,org.jfree.chart.plot.DefaultDrawingSupplier,intArray
7698,org.jfree.chart.plot.DefaultDrawingSupplier,intArray
24055,org.jfree.chart.plot.DefaultDrawingSupplier,intArray
10906,org.jfree.chart.plot.DefaultDrawingSupplier,intArray
11226,org.jfree.chart.plot.DefaultDrawingSupplier,intArray
8019,org.jfree.chart.plot.DefaultDrawingSupplier,intArray
9302,org.jfree.chart.plot.DefaultDrawingSupplier,intArray
11868,org.jfree.chart.plot.DefaultDrawingSupplier,intArray
5251470,org.jfree.chart.plot.DefaultDrawingSupplier,createStandardSeriesShapes
16678,org.jfree.chart.Colors,createFancyLightColors
5481440,org.jfree.chart.Colors,getDefaultColors
22772,org.jfree.data.general.AbstractDataset,addChangeListener
7056,org.jfree.chart.event.ChartChangeEvent,setType
16037,org.jfree.chart.plot.Plot,notifyListeners
4845413,org.jfree.chart.plot.Plot,datasetChanged
9612566,org.jfree.chart.plot.MeterPlot,setDataset
2245,org.jfree.chart.util.ParamChecks,nullNotPermitted
3207,org.jfree.chart.plot.Plot,notifyListeners
4740531,org.jfree.chart.plot.Plot,fireChangeEvent
9393500,org.jfree.chart.plot.MeterPlot,addInterval
4169,org.jfree.chart.util.ParamChecks,nullNotPermitted
4811,org.jfree.chart.util.ParamChecks,nullNotPermitted
16358,org.jfree.chart.plot.Plot,addChangeListener
3848,org.jfree.chart.util.ParamChecks,nullNotPermitted
2566,org.jfree.chart.util.ParamChecks,nullNotPermitted
3849,org.jfree.chart.util.ParamChecks,nullNotPermitted
4491,org.jfree.chart.util.ParamChecks,nullNotPermitted
3529,org.jfree.chart.util.ParamChecks,nullNotPermitted
5768823,org.jfree.chart.block.AbstractBlock,setPadding
2887,org.jfree.chart.util.ParamChecks,nullNotPermitted
5188926,org.jfree.chart.block.AbstractBlock,setMargin
2246,org.jfree.chart.util.ParamChecks,nullNotPermitted
18604,org.jfree.chart.title.Title,notifyListeners
4721288,org.jfree.chart.title.Title,fireChangeEvent
9267130,org.jfree.chart.title.Title,setHorizontalAlignment
6094,org.jfree.chart.title.Title,notifyListeners
4751758,org.jfree.chart.title.LegendTitle,setBackgroundPaint
3208,org.jfree.chart.util.ParamChecks,nullNotPermitted
3529,org.jfree.chart.title.Title,notifyListeners
5080195,org.jfree.chart.title.Title,fireChangeEvent
10029528,org.jfree.chart.title.Title,setPosition
16357,org.jfree.chart.title.Title,addChangeListener
11226,org.jfree.chart.JFreeChart,notifyListeners
1924,org.jfree.chart.util.ParamChecks,nullNotPermitted
2887,org.jfree.chart.util.ParamChecks,nullNotPermitted
5395161,org.jfree.chart.drawable.ColorPainter,draw
6094,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
6094,org.jfree.chart.ui.RectangleInsets,calculateRightInset
8018,org.jfree.chart.ui.RectangleInsets,calculateTopInset
7698,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
5353465,org.jfree.chart.ui.RectangleInsets,trim
6094,org.jfree.chart.title.Title,isVisible
1925,org.jfree.chart.util.ParamChecks,nullNotPermitted
2886,org.jfree.chart.util.ParamChecks,nullNotPermitted
6735,org.jfree.chart.title.Title,getPosition
6094,org.jfree.chart.block.BlockParams,setGenerateEntities
6094,org.jfree.chart.block.FlowArrangement,clear
4781586,org.jfree.chart.block.BlockContainer,clear
2245,org.jfree.chart.title.Title,getPosition
6094,org.jfree.chart.ui.RectangleEdge,isTopOrBottom
4490,org.jfree.chart.block.BlockContainer,setArrangement
3849,org.jfree.chart.plot.MeterInterval,getBackgroundPaint
4811,org.jfree.chart.plot.MeterInterval,getOutlinePaint
6094,org.jfree.chart.plot.MeterInterval,getLabel
2245,org.jfree.chart.plot.MeterInterval,getLabel
3207,org.jfree.chart.util.ParamChecks,nullNotPermitted
2245,org.jfree.chart.util.ParamChecks,nullNotPermitted
2245,org.jfree.chart.util.ParamChecks,nullNotPermitted
4490,org.jfree.chart.util.ParamChecks,nullNotPermitted
2565,org.jfree.chart.util.ParamChecks,nullNotPermitted
1925,org.jfree.chart.util.ParamChecks,nullNotPermitted
2887,org.jfree.chart.util.ParamChecks,nullNotPermitted
10264,org.jfree.chart.plot.MeterPlot,getDataset
8340,org.jfree.chart.LegendItem,setDataset
4156465,org.jfree.chart.plot.MeterPlot,getLegendItems
7377,org.jfree.chart.LegendItem,getShape
