Class,LOC
XYPlot.java,5643
CategoryPlot.java,5093
PiePlot.java,3481
ChartPanel.java,3361
AbstractRenderer.java,3323
DatasetUtilities.java,2322
PolarPlot.java,2172
DateAxis.java,1901
AbstractXYItemRenderer.java,1873
StandardChartTheme.java,1819
AbstractCategoryItemRenderer.java,1780
ValueAxis.java,1733
ThermometerPlot.java,1712
JFreeChart.java,1576
SpiderWebPlot.java,1558
ChartFactory.java,1526
Axis.java,1523
CategoryAxis.java,1495
BarRenderer.java,1420
TimeSeries.java,1365
Plot.java,1353
MeterPlot.java,1309
XYDifferenceRenderer.java,1256
XYLineAndShapeRenderer.java,1235
XYBarRenderer.java,1225
PeriodAxis.java,1204
CyclicNumberAxis.java,1181
LegendItem.java,1166
NumberAxis.java,1154
FastScatterPlot.java,1132
BoxAndWhiskerRenderer.java,1109
StandardXYItemRenderer.java,1083
LogAxis.java,1078
PiePlot3D.java,1052
StandardDialScale.java,1037
SerialDate.java,1035
Renderer.java,1011
DefaultPolarItemRenderer.java,1002
XYSeries.java,991
DynamicTimeSeriesCollection.java,971
CandlestickRenderer.java,951
DefaultBoxAndWhiskerCategoryDataset.java,950
LineAndShapeRenderer.java,924
TextUtilities.java,914
TextTitle.java,906
CompassPlot.java,901
XYBoxAndWhiskerRenderer.java,848
DialPlot.java,839
DefaultIntervalCategoryDataset.java,823
DialValueIndicator.java,800
TimeSeriesCollection.java,783
XYAreaRenderer.java,781
SymbolAxis.java,781
CombinedDomainXYPlot.java,770
RingPlot.java,758
XYSeriesCollection.java,752
LegendGraphic.java,751
Crosshair.java,742
PaintScaleLegend.java,741
DefaultStatisticalCategoryDataset.java,736
ChartUtilities.java,735
CombinedRangeXYPlot.java,730
LegendTitle.java,709
StackedXYAreaRenderer.java,708
TaskSeriesCollection.java,703
XYTextAnnotation.java,699
Marker.java,697
ChartCanvas.java,694
MultiplePiePlot.java,692
CombinedDomainCategoryPlot.java,680
DialPointer.java,663
XYStepAreaRenderer.java,657
DefaultTableXYDataset.java,648
GanttRenderer.java,643
Week.java,639
SlidingGanttCategoryDataset.java,638
DefaultPlotEditor.java,635
AbstractBlock.java,634
RelativeDateFormat.java,634
SerialUtils.java,623
XYShapeRenderer.java,622
TimeTableXYDataset.java,618
StatisticalBarRenderer.java,603
ScatterRenderer.java,601
ShapeUtils.java,597
DefaultKeyedValues2D.java,594
CrosshairOverlay.java,589
CombinedRangeCategoryPlot.java,579
DefaultBoxAndWhiskerXYDataset.java,579
MinMaxCategoryRenderer.java,579
TimePeriodValues.java,575
StackedXYAreaRenderer2.java,573
XYPointerAnnotation.java,569
RectangleInsets.java,564
JDBCXYDataset.java,559
Colors.java,548
CategoryPointerAnnotation.java,546
DefaultIntervalXYDataset.java,542
DefaultDrawingSupplier.java,540
Month.java,531
DefaultAxisEditor.java,529
HighLowRenderer.java,527
ArcDialFrame.java,527
BorderArrangement.java,525
StackedAreaRenderer.java,518
KeyedObjects2D.java,516
XYSplineRenderer.java,508
OHLCSeriesCollection.java,504
XYItemRenderer.java,501
CyclicXYItemRenderer.java,499
WaterfallBarRenderer.java,498
IntervalXYDelegate.java,489
StatisticalLineAndShapeRenderer.java,489
Minute.java,482
HistogramDataset.java,482
Range.java,480
DefaultKeyedValues.java,479
SpreadsheetDate.java,478
LayeredBarRenderer.java,474
XYTaskDataset.java,471
Hour.java,471
XYAreaRenderer2.java,469
Quarter.java,467
CategoryItemRenderer.java,462
XYErrorRenderer.java,461
Title.java,461
Statistics.java,458
LevelRenderer.java,457
CategoryLabelPositions.java,456
TimePeriodValuesCollection.java,455
LabelBlock.java,455
StackedXYBarRenderer.java,453
ComparableObjectSeries.java,453
Day.java,451
GridArrangement.java,451
Second.java,451
SubCategoryAxis.java,450
XYBlockRenderer.java,450
FlowArrangement.java,448
DefaultHighLowDataset.java,447
TimeSeriesChartFXDemo1.java,447
DefaultCategoryDataset.java,447
ChartEntity.java,444
StandardDialRange.java,442
ModuloAxis.java,440
StackedBarRenderer.java,440
TextBox.java,440
MeterNeedle.java,438
WaferMapPlot.java,436
XYBubbleRenderer.java,435
CategoryLineAnnotation.java,432
CategoryTableXYDataset.java,430
DefaultXYZDataset.java,428
DefaultWindDataset.java,428
Millisecond.java,425
DefaultValueAxisEditor.java,422
Series.java,420
XYDotRenderer.java,419
CrosshairState.java,416
LookupPaintScale.java,415
DefaultMultiValueCategoryDataset.java,414
DialTextAnnotation.java,414
XYTitleAnnotation.java,406
DateTickUnit.java,405
EntitySelectionManager.java,405
XYBarDataset.java,400
DeviationRenderer.java,397
XYIntervalSeriesCollection.java,394
ColumnArrangement.java,389
Year.java,388
XYDataImageAnnotation.java,383
AxisSpace.java,383
GroupedStackedBarRenderer.java,382
AbstractXYItemLabelGenerator.java,381
GradientXYBarPainter.java,380
DefaultPieDataset.java,380
CategoryStepRenderer.java,380
DefaultXYDataset.java,380
SamplingXYLineRenderer.java,375
ClusteredXYBarRenderer.java,375
GradientBarPainter.java,374
XYStepRenderer.java,373
TextAnnotation.java,372
ChartViewer.java,371
WaferMapRenderer.java,370
AreaRenderer.java,370
Regression.java,369
StandardDialFrame.java,367
RectangleConstraint.java,367
PeriodAxisLabelInfo.java,367
XIntervalSeriesCollection.java,365
XYPolygonAnnotation.java,365
YIntervalSeriesCollection.java,363
SlidingCategoryDataset.java,363
MovingAverage.java,361
DefaultOHLCDataset.java,359
ImageTitle.java,355
KeyedObjects.java,352
VectorRenderer.java,352
DialCap.java,348
CategoryToPieDataset.java,339
DefaultHeatMapDataset.java,337
AbstractCategoryItemLabelGenerator.java,337
CenterArrangement.java,334
DefaultShadowGenerator.java,333
VectorSeriesCollection.java,332
XYImageAnnotation.java,326
KeyToGroupMap.java,325
YIntervalRenderer.java,321
TextBlock.java,321
TextFragment.java,319
JDBCCategoryDataset.java,318
XYShapeAnnotation.java,317
RegularTimePeriod.java,315
WaferMapDataset.java,314
XYBoxAnnotation.java,314
XYLineAnnotation.java,312
MatrixSeriesCollection.java,311
CategoryDatasetSelectionExtension.java,310
HashUtils.java,310
DefaultTitleEditor.java,305
FixedMillisecond.java,299
BoxAndWhiskerItem.java,299
DataUtilities.java,294
