Class,LOC
Pie3DLocale.java,52
Candlestick.java,50
XYArea.java,64
WaferMap.java,39
RingLocale.java,56
MultiplePie.java,59
XYLine.java,53
HighLow.java,51
ScatterPlot.java,64
StackedArea.java,64
XYStep.java,57
Gantt.java,69
Line.java,61
PieSimple.java,47
BubbleChart.java,62
StackedBar.java,64
IChart.java,7
TimeSeries.java,75
BoxAndWhiskerCategory.java,59
Histogram.java,59
ChartFactoryClient.java,51
XYBar.java,85
PieSimpleLocale.java,59
MultiplePie3D.java,72
Pie3D.java,43
Polar.java,51
XYStepArea.java,59
Bar.java,73
Ring.java,47
Waterfall.java,90
StackedXYArea.java,63
BoxAndWhiskerXY.java,52
PieLocale.java,148
Area.java,64
Pie.java,141
WindPlot.java,50
