ExecutionTime,Class
53708353.92,org.jfree.chart.BarChartTest
49380641.25,org.jfree.chart.StackedAreaChartTest
48567138.67,org.jfree.chart.AreaChartTest
46762069.33,org.jfree.chart.StackedBarChartTest
46576842.44,org.jfree.chart.WaterfallChartTest
33254980.44,org.jfree.chart.ChartFactory
23741719.32,org.jfree.chart.renderer.category.StackedAreaRenderer
23507361.78,org.jfree.chart.XYAreaChartTest
23227356.00,org.jfree.chart.XYStepAreaChartTest
23013565.22,org.jfree.chart.ScatterPlotTest
22483168.89,org.jfree.chart.XYStepChartTest
22311216.89,org.jfree.chart.TimeSeriesChartTest
22308579.44,org.jfree.chart.XYLineChartTest
22208009.78,org.jfree.chart.XYBarChartTest
21897183.22,org.jfree.chart.renderer.xy.XYBarRenderer
20256951.00,org.jfree.chart.TestUtils
19345271.71,org.jfree.chart.PieChart3DTest
18038198.61,org.jfree.chart.renderer.category.StackedBarRenderer
17381093.33,org.jfree.chart.PieChartTest
17173291.71,org.jfree.data.xy.AbstractIntervalXYDataset
16966171.88,org.jfree.chart.StandardChartTheme
15935280.54,org.jfree.chart.title.TextTitle
14795958.00,org.jfree.chart.renderer.item.DefaultVisibilityIRS
14340669.33,org.jfree.data.xy.XYBarDataset
13337551.76,org.jfree.data.general.DatasetUtilities
13249028.09,org.jfree.chart.axis.Axis
13142786.00,org.jfree.chart.ChartRenderingInfoTest
13089600.54,org.jfree.chart.block.LabelBlock
12824833.06,org.jfree.chart.JFreeChartTest
12585821.88,org.jfree.chart.ChartPanelTest
12202795.84,org.jfree.data.xy.AbstractXYDataset
12118266.20,org.jfree.chart.labels.StandardCategorySeriesLabelGenerator
11641870.48,org.jfree.chart.GanttChartTest
11632348.60,org.jfree.chart.labels.StandardXYSeriesLabelGenerator
11163889.97,org.jfree.chart.renderer.xy.AbstractXYItemRenderer
10753605.68,org.jfree.chart.renderer.AbstractRenderer
10482845.62,org.jfree.chart.renderer.xy.XYLineAndShapeRenderer
10126986.35,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer
9542003.00,org.jfree.chart.StandardChartThemeTest
9540355.99,org.jfree.data.general.AbstractSeriesDataset
9243461.42,org.jfree.chart.renderer.item.DefaultPaintIRS
9024891.52,org.jfree.chart.plot.Plot
9009896.00,org.jfree.chart.labels.StandardCategoryToolTipGenerator
8763121.78,org.jfree.chart.renderer.category.WaterfallBarRenderer
8500615.00,org.jfree.data.time.RegularTimePeriod
8239952.41,org.jfree.data.general.DefaultPieDataset
8191087.23,org.jfree.chart.block.BlockContainer
8162825.91,org.jfree.chart.axis.DateAxis
7975457.33,org.jfree.chart.StrokeMapTest
7934364.71,org.jfree.chart.PaintMapTest
7924849.51,org.jfree.chart.axis.TickUnits
7782105.00,org.jfree.chart.MeterChartTest
7749044.09,org.jfree.chart.title.LegendTitle
7721711.98,org.jfree.chart.plot.PiePlot
7692660.19,org.jfree.chart.plot.MeterPlot
7540587.98,org.jfree.chart.labels.StandardPieSectionLabelGenerator
7536386.29,org.jfree.chart.block.CenterArrangement
7448913.07,org.jfree.data.category.DefaultCategoryDataset
7287011.40,org.jfree.chart.plot.RingPlot
7091733.00,org.jfree.chart.block.AbstractBlock
6816123.99,org.jfree.chart.ui.RectangleAnchor
6153560.42,org.jfree.chart.block.BorderArrangement
5648643.93,org.jfree.chart.text.TextFragment
5546900.93,org.jfree.data.time.TimeSeriesCollection
5429103.52,org.jfree.chart.renderer.category.IntervalBarRenderer
5349195.70,org.jfree.chart.title.Title
5277130.90,org.jfree.chart.plot.XYPlot
5200528.46,org.jfree.chart.plot.CategoryPlot
5062096.05,org.jfree.chart.renderer.category.BarRenderer
5032404.00,org.jfree.chart.HashUtilitiesTest
5014763.00,org.jfree.chart.renderer.xy.XYAreaRenderer
4944654.31,org.jfree.data.time.Day
4899276.52,org.jfree.chart.text.G2TextMeasurer
