Class,WMPC
Marker.class,56
TimeTableXYDataset.class,47
XYBarRenderer$XYBarRendererState.class,3
XYImageAnnotation.class,24
KeyedValues2DDataset.class,0
CategoryItemLabelGenerator.class,0
BlockContainer.class,24
AbstractDatasetSelectionExtension.class,14
AbstractXYItemLabelGenerator.class,28
DateRange.class,6
StackedAreaRenderer.class,42
Millisecond.class,23
CustomXYToolTipGenerator.class,22
DatasetIterator.class,0
ChartFactory.class,57
DefaultCategoryItemRenderer.class,1
KeyedValue.class,0
DomainInfo.class,0
StandardCategoryItemLabelGenerator.class,5
TimeSeriesURLGenerator.class,18
BlockParams.class,7
CyclicNumberAxis.class,135
VectorSeriesCollection.class,24
PolarItemRenderer.class,0
Second.class,30
BoxAndWhiskerToolTipGenerator.class,6
CompassFormat.class,6
TickUnitSource.class,0
MarkerChangeEvent.class,2
XYSeries.class,96
CategoryStepRenderer$State.class,1
WindDataset.class,0
TextBox.class,45
XYDatasetSelectionExtension.class,11
CategoryAnnotation.class,0
DialBackground.class,20
Values.class,0
MultipleXYSeriesLabelGenerator.class,20
CategoryCrosshairState.class,13
DefaultKeyedValues2D.class,57
TimeSeriesTableModel.class,26
SelectionDemo5Category.class,8
StandardXYSeriesLabelGenerator.class,11
BubbleXYItemLabelGenerator.class,18
G2TextMeasurer.class,2
XYSplineRenderer$FillType.class,4
AbstractDialLayer.class,16
SeriesRenderingOrder.class,5
PolarChartPanel.class,18
TextAnchor.class,43
StandardDialScale.class,90
TableXYDataset.class,0
XYZSeriesCollection.class,23
NumberTickUnitSource.class,40
TooltipHandlerFX.class,7
Size2D.class,12
DefaultMultiValueCategoryDataset.class,37
IntervalXYToolTipGenerator.class,21
NotOutlierException.class,1
XYStepRenderer.class,32
MeanAndStandardDeviation.class,13
JFreeChartResources.class,3
EntityBlockResult.class,0
DateTitle.class,2
XYIntervalDataItem.class,12
PaintScale.class,0
XYDrawableAnnotation.class,17
AxisChangeEvent.class,2
ClusteredXYBarRenderer.class,41
AbstractPieLabelDistributor.class,6
OutlierListCollection.class,12
XYDifferenceRenderer.class,141
ArcDialFrame.class,38
XYRangeInfo.class,0
CustomPieURLGenerator.class,20
XYBoxAnnotation.class,22
ImageFormat.class,0
XIntervalSeries.class,7
RendererUtilities.class,37
Title.class,32
Range.class,54
XYDomainInfo.class,0
YIntervalDataItem.class,8
DatasetReader.class,7
IntervalCategoryItemLabelGenerator.class,7
HMSNumberFormat.class,3
StatisticalLineAndShapeRenderer.class,49
ComparableObjectItem.class,14
XYTitleAnnotation.class,38
DefaultHeatMapDataset.class,35
XYDatasetTableModel.class,15
PlotUtilities.class,5
HashUtils.class,12
AxisSpace.class,43
SelectionDemo4.class,10
StandardXYToolTipGenerator.class,7
TextFragment.class,26
DefaultWindDataset.class,25
SymbolAxis.class,71
ChartRenderingInfo.class,19
StringUtils.class,7
GanttCategoryDataset.class,0
WindowUtils.class,7
RectangleInsets.class,58
RangeType.class,5
XYItemEntity.class,16
AbstractRenderer.class,281
BarPainter.class,0
ItemLabelAnchor.class,5
DefaultIntervalXYDataset.class,42
Values2D.class,0
LegendItem.class,77
StrokeChooserPanel$1.class,2
DatasetUtilities.class,203
TaskSeriesCollection.class,48
PaintUtils.class,38
XYZDataset.class,0
ChartEditorFactory.class,0
YIntervalSeries.class,7
ApplicationFrame.class,9
SamplingXYLineRenderer.class,22
DefaultPlotEditor.class,68
TimeSeriesCollection.class,59
VectorRenderer.class,32
KeyedValueComparator.class,4
PaintIRS.class,0
ChartColor.class,3
XYDataItem.class,19
SelectionDemo2.class,10
TimePeriodFormatException.class,1
XYItemRenderer.class,0
Block.class,0
Plot.class,128
SelectionDemo6Pie.class,8
BlockResult.class,3
TimePeriodAnchor.class,5
StandardXYItemRenderer.class,103
Axis.class,125
DefaultValueAxisEditor.class,38
OHLCSeries.class,5
DefaultPaintIRS.class,4
NumberComparator.class,2
DefaultKeyedValuesDataset.class,1
CrosshairOverlay.class,93
ChartChangeEventType.class,5
DatasetChangeListener.class,0
CategoryTick.class,12
PlotOrientation.class,7
XYShapeRenderer.class,55
CategoryTextAnnotation.class,20
CategoryLabelEntity.class,8
Statistics.class,31
ColumnArrangement.class,40
SeriesChangeListener.class,0
PublicCloneable.class,0
XYAreaRenderer.class,69
XYBubbleRenderer.class,47
CategoryToPieDataset.class,37
OverlayFX.class,0
AxisState.class,16
PieSectionEntity.class,20
NumberAxis.class,106
CenterArrangement.class,31
AbstractMouseHandlerFX.class,19
PanHandler.class,15
TextLine.class,21
XYItemLabelGenerator.class,0
CircularRegionSelectionHandler.class,12
CustomXYURLGenerator.class,22
DataPackageResources_pl.class,3
ChartUtilities.class,17
TickType.class,5
LineNeedle.class,9
Regression.class,32
AxisCollection.class,10
LCBLayout.class,29
WindItemRenderer.class,3
YisSymbolic.class,0
Layer.class,5
XYZDataItem.class,11
DateTickMarkPosition.class,5
LabelChangeEvent.class,3
JDBCCategoryDataset.class,24
Outlier.class,22
RectangleEdge.class,21
ImageEncoderFactory.class,5
Value.class,0
ExtendedCategoryAxis.class,24
GradientXYBarPainter.class,33
XYBarPainter.class,0
SamplingXYLineRenderer$State.class,2
Renderer.class,0
KeyedValuesDataset.class,0
MultiValueCategoryDataset.class,0
DynamicTimeSeriesCollection$ValueSequence.class,4
XYInterval.class,14
LevelRenderer.class,35
PieLabelDistributor.class,26
MeterInterval.class,18
SerialUtils.class,62
PieURLGenerator.class,0
MarkerChangeListener.class,0
CompassPlot.class,82
DefaultCategoryDataset.class,30
XIntervalDataItem.class,8
EntitySelectionManager.class,15
DefaultNumberAxisEditor.class,14
AbstractXYZDataset.class,3
ShapeUtils.class,45
PlotRenderingInfo.class,25
XYBarDataset.class,29
LengthConstraintType.class,5
CombinedDomainXYPlot.class,76
ValueAxis.class,162
DefaultChartEditorFactory.class,2
DataPackageResources_de.class,3
CategorySeriesHandler.class,9
StandardToolTipTagFragmentGenerator.class,2
HeatMapDataset.class,0
ValueTick.class,8
MiddlePinNeedle.class,12
XYZURLGenerator.class,0
VectorSeries.class,8
XYCoordinate.class,16
KeyedValues2D.class,0
CombinedRangeCategoryPlot.class,61
XYCrosshairState.class,1
AreaRenderer.class,32
AbstractOverlay.class,9
SlidingCategoryDataset.class,32
Function2D.class,0
WindDataItem.class,11
MovingAverage.class,19
ChartViewerSkin.class,12
HexNumberFormat.class,7
Rotation.class,6
AbstractSeriesDataset.class,5
CategoryLabelWidthType.class,5
SubCategoryAxis.class,43
ParamChecks.class,9
SeriesException.class,1
DataPackageResources_es.class,3
ChartChangeEvent.class,5
IntervalXYZDataset.class,0
BarChartDemo1.class,4
EncoderUtil.class,3
NormalDistributionFunction2D.class,10
DefaultKeyedValues.class,42
TickUnits.class,12
DataUtilities.class,34
AxisEntity.class,15
SeriesDataset.class,0
RegularTimePeriod.class,22
StandardPieSectionLabelGenerator.class,10
TickUnit.class,12
ScrollHandlerFX.class,9
PiePlot.class,300
StandardURLTagFragmentGenerator.class,2
XIntervalSeriesCollection.class,25
DialPointer$Pin.class,16
DatasetTags.class,0
DefaultXYItemRenderer.class,1
DateTickUnit.class,31
ColorBlock.class,11
FontDisplayField.class,6
TimeSeriesDataItem.class,15
BlockFrame.class,0
XYIntervalSeries.class,9
AnchorHandlerFX.class,5
ChartMouseEvent.class,4
XYStepAreaRenderer.class,66
LineBorder.class,19
XYDotRenderer.class,33
OutlierList.class,11
Overlay.class,0
TitleChangeListener.class,0
KeyedValues.class,0
StandardTickUnitSource.class,7
ChartCanvas.class,93
GridArrangement.class,51
RendererState.class,5
HistogramDataset.class,40
PlotEntity.class,15
StandardXYItemRenderer$State.class,8
LogFormat.class,19
LongNeedle.class,13
AbstractIntervalXYDataset.class,9
ToolTipTagFragmentGenerator.class,0
DefaultTableXYDataset.class,60
CombinedDomainCategoryPlot.class,67
CategoryStepRenderer.class,29
DialScale.class,0
FreePathSelectionHandler.class,16
KeyHandler.class,9
PlumNeedle.class,10
LineAndShapeRenderer.class,82
CyclicXYItemRenderer$OverwriteDataSet.class,15
XYItemRendererState.class,7
DefaultBoxAndWhiskerCategoryDataset.class,67
CategoryLineAnnotation.class,31
StandardCrosshairLabelGenerator.class,12
GrayPaintScale.class,17
AbstractPieItemLabelGenerator.class,23
TableOrder.class,5
PieLabelLinkStyle.class,5
ObjectUtils.class,17
GanttRenderer.class,61
DialPlot.class,82
ExportUtils.class,29
DefaultDrawingSupplier.class,43
XYAreaRenderer$XYAreaRendererState.class,1
