Class,WMPC
Marker.class,1
TimeTableXYDataset.class,1
XYBarRenderer$XYBarRendererState.class,1
XYImageAnnotation.class,2
KeyedValues2DDataset.class,0
CategoryItemLabelGenerator.class,0
BlockContainer.class,2
AbstractDatasetSelectionExtension.class,1
AbstractXYItemLabelGenerator.class,2
DateRange.class,1
StackedAreaRenderer.class,4
Millisecond.class,1
CustomXYToolTipGenerator.class,2
DatasetIterator.class,0
ChartFactory.class,1
DefaultCategoryItemRenderer.class,1
KeyedValue.class,0
DomainInfo.class,0
StandardCategoryItemLabelGenerator.class,1
TimeSeriesURLGenerator.class,2
BlockParams.class,1
CyclicNumberAxis.class,4
VectorSeriesCollection.class,1
PolarItemRenderer.class,0
Second.class,2
BoxAndWhiskerToolTipGenerator.class,2
CompassFormat.class,1
TickUnitSource.class,0
MarkerChangeEvent.class,1
XYSeries.class,2
CategoryStepRenderer$State.class,1
WindDataset.class,0
TextBox.class,1
XYDatasetSelectionExtension.class,1
CategoryAnnotation.class,0
DialBackground.class,1
Values.class,0
MultipleXYSeriesLabelGenerator.class,2
CategoryCrosshairState.class,1
DefaultKeyedValues2D.class,3
TimeSeriesTableModel.class,2
SelectionDemo5Category.class,1
StandardXYSeriesLabelGenerator.class,1
BubbleXYItemLabelGenerator.class,2
G2TextMeasurer.class,1
XYSplineRenderer$FillType.class,1
AbstractDialLayer.class,1
SeriesRenderingOrder.class,1
PolarChartPanel.class,3
TextAnchor.class,3
StandardDialScale.class,1
TableXYDataset.class,0
XYZSeriesCollection.class,1
NumberTickUnitSource.class,4
TooltipHandlerFX.class,2
Size2D.class,1
DefaultMultiValueCategoryDataset.class,2
IntervalXYToolTipGenerator.class,4
NotOutlierException.class,1
XYStepRenderer.class,4
MeanAndStandardDeviation.class,1
JFreeChartResources.class,1
EntityBlockResult.class,0
DateTitle.class,1
XYIntervalDataItem.class,1
PaintScale.class,0
XYDrawableAnnotation.class,3
AxisChangeEvent.class,1
ClusteredXYBarRenderer.class,5
AbstractPieLabelDistributor.class,1
OutlierListCollection.class,1
XYDifferenceRenderer.class,5
ArcDialFrame.class,1
XYRangeInfo.class,0
CustomPieURLGenerator.class,2
XYBoxAnnotation.class,3
ImageFormat.class,0
XIntervalSeries.class,1
RendererUtilities.class,9
Title.class,1
Range.class,2
XYDomainInfo.class,0
YIntervalDataItem.class,1
DatasetReader.class,2
IntervalCategoryItemLabelGenerator.class,3
HMSNumberFormat.class,1
StatisticalLineAndShapeRenderer.class,4
ComparableObjectItem.class,1
XYTitleAnnotation.class,2
DefaultHeatMapDataset.class,2
XYDatasetTableModel.class,1
PlotUtilities.class,2
HashUtils.class,3
AxisSpace.class,2
SelectionDemo4.class,1
StandardXYToolTipGenerator.class,1
TextFragment.class,2
DefaultWindDataset.class,2
SymbolAxis.class,3
ChartRenderingInfo.class,1
StringUtils.class,1
GanttCategoryDataset.class,0
WindowUtils.class,1
RectangleInsets.class,2
RangeType.class,1
XYItemEntity.class,1
AbstractRenderer.class,2
BarPainter.class,0
ItemLabelAnchor.class,1
DefaultIntervalXYDataset.class,2
Values2D.class,0
LegendItem.class,1
StrokeChooserPanel$1.class,1
DatasetUtilities.class,7
TaskSeriesCollection.class,2
PaintUtils.class,12
XYZDataset.class,0
ChartEditorFactory.class,0
YIntervalSeries.class,1
ApplicationFrame.class,1
SamplingXYLineRenderer.class,2
DefaultPlotEditor.class,3
TimeSeriesCollection.class,2
VectorRenderer.class,5
KeyedValueComparator.class,1
PaintIRS.class,0
ChartColor.class,1
XYDataItem.class,1
SelectionDemo2.class,1
TimePeriodFormatException.class,1
XYItemRenderer.class,0
Block.class,0
Plot.class,2
SelectionDemo6Pie.class,1
BlockResult.class,1
TimePeriodAnchor.class,1
StandardXYItemRenderer.class,3
Axis.class,1
DefaultValueAxisEditor.class,1
OHLCSeries.class,1
